市町村コード,都道府県名及び市町村名,NO,施設・場所名,住所,洪水,崖崩、土石流及び地滑,高潮,地震,津波,大規模火災,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
14100,神奈川県横浜市,1772,横浜市立長津田小学校　体育館６,神奈川県横浜市緑区長津田町2330,1,1,,1,,1,,,1,35.5299583,139.4906567,
14100,神奈川県横浜市,1773,横浜市立長津田小学校　校舎２０,神奈川県横浜市緑区長津田町2330,1,1,,1,,1,,,1,35.52968764,139.490882,
14100,神奈川県横浜市,1774,横浜市立長津田小学校　校舎３,神奈川県横浜市緑区長津田町2330,1,1,,1,,1,,,1,35.53029882,139.4907854,
14100,神奈川県横浜市,1775,横浜市立長津田第二小学校　校舎４,神奈川県横浜市緑区長津田町2469-3,1,1,,1,,,,,1,35.53485202,139.4882695,
14100,神奈川県横浜市,1776,横浜市立長津田第二小学校　校舎２,神奈川県横浜市緑区長津田町2469-3,1,,,1,,,,,1,35.5346905,139.4883768,
14100,神奈川県横浜市,1777,横浜市立長津田第二小学校　校舎１,神奈川県横浜市緑区長津田町2469-3,1,1,,1,,,,,1,35.53500481,139.4883285,
14100,神奈川県横浜市,1778,横浜市立長津田第二小学校　体育館３,神奈川県横浜市緑区長津田町2469-3,1,1,,1,,,,,1,35.53493496,139.4886772,
14100,神奈川県横浜市,1779,横浜市立東本郷小学校　校舎７,神奈川県横浜市緑区東本郷5-40-1,1,1,,1,,,,,1,35.50460772,139.581829,
14100,神奈川県横浜市,1780,横浜市立東本郷小学校　校舎３－１,神奈川県横浜市緑区東本郷5-40-1,1,1,,1,,,,,1,35.5052584,139.5821884,
14100,神奈川県横浜市,1781,横浜市立東本郷小学校　体育館２－１,神奈川県横浜市緑区東本郷5-40-1,1,1,,1,,,,,1,35.50542434,139.581947,
14100,神奈川県横浜市,1782,横浜市立東本郷小学校　校舎１,神奈川県横浜市緑区東本郷5-40-1,1,1,,1,,,,,1,35.50497891,139.5821347,
14100,神奈川県横浜市,1783,横浜市立山下小学校　校舎４,神奈川県横浜市緑区北八朔町1865-3,1,,,1,,1,,,1,35.52532968,139.5378413,
14100,神奈川県横浜市,1784,横浜市立山下小学校　校舎５,神奈川県横浜市緑区北八朔町1865-3,1,1,,1,,1,,,1,35.52525546,139.5387532,
14100,神奈川県横浜市,1785,横浜市立山下小学校　体育館３,神奈川県横浜市緑区北八朔町1865-3,1,,,1,,1,,,1,35.52514195,139.5376535,
14100,神奈川県横浜市,1786,横浜市立山下小学校　校舎１,神奈川県横浜市緑区北八朔町1865-3,1,1,,1,,1,,,1,35.52520744,139.5384582,
14100,神奈川県横浜市,1787,横浜市立山下みどり台小学校　体育館３－１,神奈川県横浜市緑区北八朔町2031-3,1,1,,1,,,,,1,35.53186226,139.5330822,
14100,神奈川県横浜市,1788,横浜市立山下みどり台小学校　校舎１,神奈川県横浜市緑区北八朔町2031-3,1,1,,1,,,,,1,35.53135149,139.5331788,
14100,神奈川県横浜市,1789,横浜市立山下みどり台小学校　校舎２－１,神奈川県横浜市緑区北八朔町2031-3,1,1,,1,,,,,1,35.53161342,139.5333719,
14100,神奈川県横浜市,1790,霧が丘複合施設「霧の里」（旧霧が丘第三小学校）　体育館２,神奈川県横浜市緑区霧が丘3-23,1,1,,1,,,,,1,35.51627089,139.5055153,
14100,神奈川県横浜市,1791,霧が丘複合施設「霧の里」（旧霧が丘第三小学校）　校舎１,神奈川県横浜市緑区霧が丘3-23,1,1,,1,,,,,1,35.51617046,139.5047482,
14100,神奈川県横浜市,1792,横浜市立霧が丘義務教育学校（旧小学校部分）　校舎１２,神奈川県横浜市緑区霧が丘4-3,1,1,,1,,1,,,1,35.51218059,139.5068834,
